iter	Passed	Remaining
0	11	11905
1	21	10825
2	31	10469
3	40	10190
4	50	9992
5	60	10039
6	70	10064
7	82	10221
8	93	10248
9	104	10331
10	115	10365
11	126	10401
12	137	10475
13	151	10636
14	163	10726
15	175	10799
16	187	10846
17	198	10841
18	210	10856
19	222	10893
20	234	10930
21	245	10925
22	256	10910
23	266	10844
24	277	10810
25	289	10830
26	299	10794
27	309	10755
28	321	10762
29	330	10675
30	338	10578
31	347	10512
32	355	10422
33	365	10380
34	372	10273
35	381	10221
36	390	10154
37	399	10103
38	406	10020
39	414	9955
40	422	9882
41	430	9822
42	438	9769
43	447	9718
44	455	9675
45	464	9625
46	472	9576
47	480	9526
48	490	9513
49	497	9448
50	505	9401
51	513	9354
52	520	9302
53	528	9264
54	536	9221
55	545	9198
56	553	9160
57	562	9134
58	571	9108
59	580	9095
60	589	9073
61	598	9049
62	607	9040
63	616	9009
64	625	8991
65	634	8977
66	643	8965
67	654	8968
68	664	8964
69	675	8970
70	685	8963
71	695	8960
72	705	8954
73	715	8950
74	725	8950
75	735	8936
76	744	8919
77	753	8908
78	764	8911
79	774	8904
80	785	8911
81	796	8913
82	805	8903
83	815	8888
84	824	8873
85	833	8857
86	843	8852
87	854	8855
88	862	8832
89	871	8815
90	880	8793
91	889	8779
92	900	8780
93	912	8791
94	922	8788
95	932	8780
96	942	8778
97	952	8770
98	964	8774
99	972	8756
100	982	8747
101	991	8731
102	1000	8710
103	1009	8694
104	1017	8674
105	1026	8659
106	1035	8642
107	1044	8629
108	1054	8623
109	1066	8627
110	1074	8609
111	1083	8587
112	1092	8574
113	1101	8563
114	1111	8555
115	1119	8533
116	1129	8525
117	1137	8505
118	1146	8486
119	1154	8467
120	1163	8455
121	1172	8435
122	1180	8416
123	1189	8403
124	1198	8390
125	1207	8376
126	1216	8361
127	1225	8351
128	1235	8339
129	1244	8329
130	1252	8311
131	1261	8292
132	1269	8278
133	1278	8261
134	1286	8241
135	1294	8221
136	1301	8200
137	1311	8190
138	1320	8182
139	1329	8169
140	1338	8157
141	1347	8141
142	1356	8126
143	1363	8107
144	1372	8090
145	1379	8071
146	1388	8057
147	1395	8034
148	1404	8021
149	1412	8001
150	1420	7984
151	1429	7977
152	1438	7966
153	1447	7950
154	1455	7936
155	1464	7921
156	1471	7903
157	1481	7893
158	1489	7879
159	1498	7867
160	1507	7856
161	1515	7837
162	1523	7824
163	1532	7814
164	1540	7797
165	1549	7784
166	1556	7765
167	1565	7750
168	1572	7731
169	1580	7714
170	1588	7703
171	1598	7693
172	1606	7679
173	1615	7669
174	1622	7651
175	1631	7637
176	1639	7624
177	1648	7614
178	1657	7602
179	1665	7589
180	1674	7575
181	1682	7563
182	1691	7550
183	1700	7539
184	1707	7524
185	1715	7508
186	1724	7497
187	1733	7486
188	1742	7476
189	1751	7465
190	1760	7456
191	1769	7447
192	1777	7434
193	1786	7420
194	1793	7405
195	1802	7392
196	1810	7381
197	1819	7368
198	1827	7357
199	1835	7340
200	1843	7326
201	1851	7314
202	1860	7303
203	1867	7286
204	1875	7275
205	1883	7260
206	1892	7248
207	1899	7233
208	1908	7223
209	1917	7211
210	1925	7201
211	1933	7188
212	1941	7174
213	1949	7159
214	1956	7145
215	1965	7133
216	1973	7120
217	1982	7111
218	1991	7100
219	2000	7091
220	2009	7082
221	2018	7074
222	2028	7068
223	2039	7065
224	2049	7058
225	2059	7054
226	2070	7051
227	2080	7043
228	2089	7035
229	2099	7027
230	2108	7018
231	2118	7011
232	2127	7002
233	2135	6991
234	2145	6983
235	2153	6972
236	2163	6964
237	2172	6956
238	2182	6949
239	2190	6937
240	2200	6931
241	2209	6920
242	2219	6914
243	2228	6903
244	2237	6894
245	2246	6885
246	2255	6876
247	2265	6868
248	2274	6859
249	2283	6850
250	2292	6839
251	2301	6831
252	2311	6825
253	2319	6812
254	2328	6802
255	2338	6794
256	2347	6786
257	2355	6775
258	2365	6766
259	2373	6756
260	2382	6746
261	2392	6740
262	2400	6727
263	2409	6717
264	2417	6705
265	2426	6696
266	2434	6683
267	2443	6673
268	2451	6661
269	2459	6649
270	2467	6637
271	2475	6625
272	2482	6612
273	2491	6601
274	2500	6591
275	2509	6582
276	2517	6570
277	2526	6560
278	2533	6546
279	2541	6536
280	2550	6525
281	2559	6516
282	2567	6503
283	2576	6496
284	2586	6490
285	2595	6480
286	2604	6471
287	2613	6460
288	2623	6454
289	2632	6444
290	2641	6435
291	2650	6427
292	2660	6419
293	2669	6410
294	2678	6400
295	2686	6389
296	2695	6379
297	2702	6367
298	2711	6356
299	2719	6346
300	2728	6336
301	2737	6326
302	2747	6319
303	2755	6308
304	2764	6300
305	2772	6288
306	2782	6280
307	2791	6270
308	2799	6259
309	2807	6249
310	2815	6237
311	2823	6225
312	2832	6216
313	2840	6205
